title,date,victim,malware_names,threat,impacts,location,data_source_link_url
Fake GPS Signals in Middle East lead Multiple Aircrafts Astray,11/24/2023,,,,IT,Middle East,https://icsstrive.com/incident/fake-gps-signals-in-middle-east-lead-multiple-aircrafts-astray/
Ransomware Attack at Slovenian Power Company HSE,11/24/2023,Holding Slovenske Elektrarne (HSE),,Rhysida Ransomware Group,IT,Slovenia,https://icsstrive.com/incident/ransomware-attack-at-slovenian-power-company-hse/
Data Breach at Idaho National Labs,11/19/2023,Idaho National Laboratory,,,IT,United States,https://icsstrive.com/incident/data-breach-at-idaho-national-labs/
Cyberattack Disrupts Paris Wastewater Operations,11/17/2023,Service public de l’assainissement francilien – SIAAP,,,IT,France,https://icsstrive.com/incident/cyberattack-disrupts-paris-wastewater-operations/
Medusa Ransomware Gang Demands $8M Ransom from Toyota,11/16/2023,"Toyota Financial Services, subs. of Toyota Motor Corp",,Medusa,,Japan,https://icsstrive.com/incident/medusa-ransomware-gang-demands-8m-ransom-from-toyota/
Yanfeng cyberattack disrupts production at Stellantis,11/15/2023,"Yanfeng Automotive Interiors, Stellantis N.V",,Qilin,OT IT,"Netherlands, United States",https://icsstrive.com/incident/yanfeng-cyberattack-disrupts-production-at-stellantis/
Lockbit Ransomware Attack Significantly Impacts Owens Group Operations.,11/15/2023,Owens Group,LockBit,LockBit,IT,United Kingdom,https://icsstrive.com/incident/lockbit-ransomware-attack-significantly-impacts-owens-group-operations/
"Longbeach, CA Declares State of Emergency after Cyberattack",11/14/2023,"CIty of Longbeach, CA",,,IT,United States,https://icsstrive.com/incident/longbeach-ca-declares-state-of-emergency-after-cyberattack/
Insulation Manufacturer Discloses Data Breach Nine Months Later,11/14/2023,K-FLEX USA LLC,,,IT,United States,https://icsstrive.com/incident/insulation-manufacturer-discloses-data-breach-nine-months-later/
Cyberattack Crippled Facilities of Large Australia Port Operator,11/12/2023,DP World Australia,,,OT IT,Australia,https://icsstrive.com/incident/cyberattack-crippled-facilities-of-large-australia-port-operator/
Bartec Top Holding Announces Data Breach,11/10/2023,BARTEC Top Holding GmbH,,Hunters International,IT,"Germany, United States",https://icsstrive.com/incident/bartec-top-holding-announces-data-breach/
Tri-City Medical Center in CA Operations Affected for Days,11/09/2023,Tri-City Medical Center,,,OT IT,United States,https://icsstrive.com/incident/tri-city-medical-center-in-ca-operations-affected-for-days/
Cyberattack at Cambrex Corporation,11/08/2023,Cambrex Corporation,,,IT,United States,https://icsstrive.com/incident/cyberattack-at-cambrex-corporation/
40% of Australians Without Internet or Phone for One Day,11/07/2023,Optus,Unknown,,IT,Australia,https://icsstrive.com/incident/40-of-australians-without-internet-or-phone-for-one-day/
Online Transportation Information Widely Disrupted at WSDOT,11/07/2023,Washington State Department of Transportation,,,IT,United States,https://icsstrive.com/incident/online-transportation-information-widely-disrupted-at-wsdot/
Ransomware Attack at Nissan North America,11/07/2023,Nissan North America,,,IT,United States,https://icsstrive.com/incident/ransomware-attack-at-nissan-north-america/
Cyberattack Disrupts Systems at Infosys McCamish Systems,11/03/2023,Infosys McCamish Systems,,,IT,India,https://icsstrive.com/incident/cyberattack-disrupts-systems-at-infosys-mccamish-systems/
Japanese Bicycle Manufacturer Shimano hit by Lockbit Gang,11/03/2023,Shimano,,LockBit,IT,Japan,https://icsstrive.com/incident/japanese-bicycle-manufacturer-shimano-hit-by-lockbit-gang/
Cyberincident at American Airlines Pilot Union,11/02/2023,Allied Pilots Association (American Airlines),Unknown,,IT  Privacy,United States,https://icsstrive.com/incident/cyberincident-at-american-airlines-pilot-union/
Data Breach at CA Waste Management Firm,11/02/2023,Recology (formerly Norcal Waste Systems),,,IT  Privacy,United States,https://icsstrive.com/incident/data-breach-at-ca-waste-management-firm/
"BlackCat Allegedly Attacked Drone Systems Partner of NASA, Airbus",11/01/2023,Autonomous Flight Technologies (AFT),,BlackCat / ALPHV,IT,United States,https://icsstrive.com/incident/blackcat-allegedly-attacked-drone-systems-partner-of-nasa-airbus/
Phishing Incident at Major Mexican Airport,11/01/2023,Querétaro Intercontinental Airport,Phishing Attack,LockBit,IT,Mexico,https://icsstrive.com/incident/phishing-incident-at-major-mexican-airport/
Trans-Northern Pipelines (TNPI) Says Able to Contain Ransomware Attack,11/01/2023,Trans-Northern Pipelines (TNPI),Unknown ransomware variant,BlackCat / ALPHV,IT,Canada,https://icsstrive.com/incident/trans-northern-pipelines-tnpi-says-able-to-contain-ransomware-attack/
Hackers Exploits Critical Security Hole in Atlassian Software,10/31/2023,Atlassian Corporation,,Cerber ransomware operation,IT,"Australia, United States",https://icsstrive.com/incident/hackers-exploits-critical-security-hole-in-atlassian-software/
Cyberattack paralyzes systems at Bauer Group AG,10/30/2023,Bauer AG,,,IT,Germany,https://icsstrive.com/incident/cyberattack-paralyzes-systems-at-bauer-group-ag/
Cities and Municipalities in North Rhine-Westphalia Offline after Cyberattack,10/30/2023,Südwestfalen IT,,,IT,Germany,https://icsstrive.com/incident/cities-and-municipalities-in-north-rhine-westphalia-offline-after-cyberattack/
Cyberattack cripples Operations at Ace Hardware in US,10/29/2023,Ace Hardware,,,IT,United States,https://icsstrive.com/incident/cyberattack-cripples-operations-at-ace-hardware-in-us/
Boeing Hacked – Lockbit Gang Leaks almost 45 GB of Data Reportedly Stolen.,10/27/2023,Boeing,LockBit,LockBit,IT,United States,https://icsstrive.com/incident/boeing-hacked-lockbit-gang-leaks-almost-45-gb-of-data-reportedly-stolen/
British Library Systems Disrupted for Weeks after Ransomware Attack,10/27/2023,British Library,Unknown ransomware variant,Rhysida Ransomware Group,IT,United Kingdom,https://icsstrive.com/incident/british-library-systems-disrupted-for-weeks-after-ransomware-attack/
Ukrainian Hacktivists Temporarily Disabled Internet Services in some Russia Occupied Territories,10/27/2023,"Russian internet providers — Miranda-media, Krimtelekom, and MirTelekom",DDoS Attack,IT Army,IT,Russia,https://icsstrive.com/incident/ukrainian-hacktivists-temporarily-disabled-internet-services-in-some-russia-occupied-territories/
Medical Device Maker LivaNova Hit In Cyberattack,10/26/2023,"LivaNova, plc",,,IT,United Kingdom,https://icsstrive.com/incident/medical-device-maker-livanova-hit-in-cyberattack/
Ransomware Attack at Yamaha Subsidiary,10/25/2023,"Yamaha Motor Co., Ltd.",,INC Ransom,IT,Philippines,https://icsstrive.com/incident/ransomware-attack-at-yamaha-subsidiary/
Town Mayor Criticizes Bluewater Health Hospital on Public Dissemination of Ransomware Attack Information.,10/23/2023,Bluewater Health,Ransomware – unknown,,IT  Privacy,Canada,https://icsstrive.com/incident/town-mayor-criticizes-bluewater-health-hospital-on-public-dissemination-of-ransomware-attack-information/
Ricardo Defense Suffers Cyberattack,10/16/2023,Ricardo Defense,,,IT,United States,https://icsstrive.com/incident/ricardo-defense-suffers-cyberattack/
"Wide concern over GPS spoofing incidents, previously thought to be impossible, in Middle East,",10/16/2023,Aircraft in route crossing Middle East airspace,,,OT IT,"Egypt, Israel, Jordan, Middle East, United Arab Emirates",https://icsstrive.com/incident/wide-concern-over-gps-spoofing-incidents-previously-thought-to-be-impossible-in-middle-east/
Cyber Incident at Healthcare Solutions giant Henry Schein,10/14/2023,Henry Schein,,,OT IT,United States,https://icsstrive.com/incident/cyber-incident-at-healthcare-solutions-giant-henry-schein/
"Simpson Manufacturing, a Building Materials Maker, Attacked",10/10/2023,Simpson Manufacturing Company,,,,United States,https://icsstrive.com/incident/simpson-manufacturing-a-building-materials-maker-attacked/
Employee of Taiwanese D-Link Falls for Phishing Leading to Data Breach,10/10/2023,D-Link,Unknown phishing attack,,IT  Privacy,Taiwan,https://icsstrive.com/incident/d-link-employee-falls-for-phishing-leading-to-data-breach/
Customers’ Credit Card details Stolen at Spanish Airline: Air Europa,10/09/2023,Air Europa,,,IT  Privacy,Spain,https://icsstrive.com/incident/customers-credit-card-details-stolen-at-spanish-airline-air-europa/
Operations Disrupted in Cyberattack at Building Materials Manufacturer Simpson Strong-Tie Co.,10/09/2023,Simpson Strong-Tie Co. Inc.,,,IT  Privacy,United States,https://icsstrive.com/incident/operations-disrupted-in-cyberattack-at-building-materials-manufacturer-simpson-strong-tie-co/
Milk Source LLC  Discloses Data Breach from Last Year,10/09/2023,Milk Source LLC,,,IT,United States,https://icsstrive.com/incident/milk-source-llc-discloses-data-breach-from-last-year/
Large Scale DDoS Attacks at Italian Airports,10/05/2023,,DDoS Attack,Mysterious Team Bangladesh,IT,Italy,https://icsstrive.com/incident/large-scale-ddos-attacks-at-italian-airports/
German Hochsauerland Water and Energy Utilities Ward off Consequences of Cyberattack,10/05/2023,HochsauerlandWasser and HochsauerlandEnergie utilities,,,IT,Germany,https://icsstrive.com/incident/german-hochsauerland-water-and-energy-utilities-ward-off-consequences-of-cyberattack/
Major Canadian Institutions Targeted in Cyberattacks.,10/02/2023,Canadian Government services,,Indian Cyber Force (ICF),IT,Canada,https://icsstrive.com/incident/major-canadian-institutions-targeted-in-cyberattacks/
Cyberattack at LTL Specialist Estes Express,10/01/2023,Estes Express (LTL),,,IT,United States,https://icsstrive.com/incident/cyberattack-at-ltl-specialist-estes-express/
Cyberattack Causes Widespread Disruption for Lyca Mobile Customers,09/30/2023,Lyca Mobile,Ransomware – Unknown group or variant,,IT,United Kingdom,https://icsstrive.com/incident/cyberattack-causes-widespread-disruption-for-lyca-mobile-customers/
Spanish Aerospace Company targeted by North Korean Lazarus Gang,09/29/2023,Unidentified Spanish Aerospace company,LightlessCan malware,Lazarus,IT,Spain,https://icsstrive.com/incident/spanish-aerospace-company-targeted-by-north-korean-lazarus-gang/
Cyberattack at Private Company Providing Services to Canadian Military Personnel Exposes PII,09/29/2023,Brookfield Global Relocation Services (BGRS),,,IT  Privacy,Canada,https://icsstrive.com/incident/cyberattack-at-private-company-providing-services-to-canadian-military-personnel-exposes-pii/
"DoDDS Attack at Russian Flight Booking System, Leonardo, Disrupts Airport Operations",09/28/2023,Leonardo,,IT Army,OT IT,Russia,https://icsstrive.com/incident/dodds-attack-at-russian-flight-booking-system-leonardo-disrupts-airports/
Edinburgh Trams’ Website offline after Cyberattack,09/28/2023,Edinburgh Trams,,NoName057(16),IT,United Kingdom,https://icsstrive.com/incident/edinburgh-trams-website-offline-after-cyberattack/
Databreach at European Telecommunications Standards Institute (ETSI),09/27/2023,European Telecommunications Standards Institute (ETSI),,,IT  Privacy,France,https://icsstrive.com/incident/databreach-at-european-telecommunications-standards-institute-etsi/
Italtel Cyberattack Claimed by Medusa,09/25/2023,Italtel Ltd,,,IT,Italy,https://icsstrive.com/incident/italtel-cyberattack-claimed-by-medusa/
Massive Ransomware Attack at Johnson Controls,09/24/2023,Johnson Controls,Ransomware – unknown,Dark Angels,OT IT,United States,https://icsstrive.com/incident/massive-ransomware-attack-at-johnson-controls/
Data Breach at Air Canada Involved Employee Information,09/21/2023,Air Canada,,BianLian Ransomware Group,IT  Privacy,Canada,https://icsstrive.com/incident/data-breach-at-air-canada-involved-employee-information/
Widespread System Outages after Cyberattack at Bermuda Government,09/20/2023,Government of Bermuda,,,IT,Bermuda,https://icsstrive.com/incident/widespread-system-outages-after-cyberattack-at-bermuda-government/
Estonian National Rail Company Experiences Largest Operational Disruption To-date,09/20/2023,Elron,DDoS Attack,,IT,Estonia,https://icsstrive.com/incident/estonian-national-rail-company-experiences-largest-operational-disruption-to-date/
"Japanese Global Lingerie Producer, Wacoal, Hit by Cyberattack",09/19/2023,Lingerie group Wacoal,,,IT,Japan,https://icsstrive.com/incident/japanese-global-lingerie-producer-wacoal-hit-by-cyberattack/
Operational Slowdown after Hack at French BBQ Manufacturer,09/18/2023,Somagic,,Medusa,OT IT,France,https://icsstrive.com/incident/operational-slowdown-after-hack-at-french-bbq-manufacturer/
"Cyberattack at Yusen Logistics, partner of Big Kitchen Manufacturers, Spells Delays for Applicance Retailers",09/17/2023,Yusen Logistics,,BlackCat / ALPHV,OT IT,,https://icsstrive.com/incident/cyberattack-at-yusen-logistics-partner-of-big-kitchen-manufacturers-spells-delays-for-applicance-retailers/
Hacktivists Attack on Israel’s Rail Network,09/16/2023,Israel Rail System,,,IT,Israel,https://icsstrive.com/incident/hacktivists-attack-on-israels-rail-network/
DDoS Attack at Bordercheck Point in Canada,09/14/2023,Canada Border Services Agency (CBSA),,NoName057(16),OT IT,Canada,https://icsstrive.com/incident/bordercheck-point-outages-in-canada/
$1M Ransom Demanded of Auckland Transport,09/13/2023,Auckland Transport,Ransomware – unknown,Medusa,OT IT,New Zealand,https://icsstrive.com/incident/1m-ransom-demanded-of-auckland-transport/
Ransomware Attack at Unidentified Bavarian Wood Processing Manufacturer,09/13/2023,Undisclosed – manufacturing sector,Ransomware – unknown,,IT,Germany,https://icsstrive.com/incident/ransomware-attack-at-unidentified-bavarian-wood-processing-manufacturer/
Airbus IT System Breach Exposes Data from Thousands of Airbus Vendors,09/12/2023,Airbus,Unknown ransomware variant,,IT,"France, Netherlands",https://icsstrive.com/incident/airbus-it-system-breach-exposes-data-from-thousands-of-airbus-vendors/
DDoS Attack Severely Distrupts Norwegian Data Protection Authority Datatilsynet,09/11/2023,Datatilsynet,DDoS Attack,NoName057(16),IT,Norway,https://icsstrive.com/incident/ddos-attack-severely-distrupts-norwegian-data-protection-authority-datatilsynet/
Ransomware Attack at Canadian Weather Network,09/11/2023,Perlmorex Corp,,,IT,Canada,https://icsstrive.com/incident/ransomware-attack-at-canadian-weather-network/
Operational Impact at Electronics Company Alps Alpine Group,09/10/2023,Alps Alpine Group,,BlackByte,OT IT,"Japan, United States",https://icsstrive.com/incident/operational-impact-at-electronics-company-alps-alpine-group/
Ransomware Hits Rea Magnet Wire Company,09/09/2023,Rea Magnet Wire Company,,,IT,United States,https://icsstrive.com/incident/ransomware-hits-rea-magnet-wire-company/
MGM Shuts Down Operations for 10 Days Across Las Vegas Properties,09/08/2023,MGM Hotels and Casinos,BlackCat,Scattered Spider,OT IT,United States,https://icsstrive.com/incident/mgm-shuts-down-operations-for-10-days-across-las-vegas-properties/
Ransomware Attack at US-Canada Water Management Organization.,09/07/2023,International Joint Commission (IJC),Unknown ransomware variant,NoEscape ransomware gang,IT,"Canada, United States",https://icsstrive.com/incident/ransomware-attack-at-us-canada-water-management-organization/
Belt Railway Company Investigates Data Theft,09/07/2023,Belt Railway Company of Chicago,,Akira Ransomware Gang,IT,United States,https://icsstrive.com/incident/belt-railway-company-investigates-data-theft/
KIA Motors GA Plant Hit in Cyber Incident,09/06/2023,Kia Motors America,Ransomware – unknown,,OT IT,United States,https://icsstrive.com/incident/kia-motors-ga-plant-hit-in-cyber-incident/
US Largest Freight Transportation Companies Impacted by ORBCOMM Software Outage,09/06/2023,ORBCOMM,,,OT IT,United States,https://icsstrive.com/incident/us-largest-freight-transportation-companies-impacted-by-orbcomm-software-outage/
Ransomware Attack Suspends All Services at Seville City Council – $1.5M Ransom Demanded,09/06/2023,Seville City Council,Ransomware – unknown,,OT IT,Spain,https://icsstrive.com/incident/ransomware-attack-suspends-all-services-at-seville-city-council/
Cyberattack Shuts Down 14 Facilities at Largest Healthcare System in MI,09/05/2023,McLaren Healthcare,,BlackCat / ALPHV,OT IT,United States,https://icsstrive.com/incident/cyberattack-shuts-down-14-facilities-at-largest-healthcare-system-in-mi/
Targeted Cyberattack on Ukranian Critical Energy Infrastructure Facility,09/05/2023,,Phishing Attack,APT28,IT,Ukraine,https://icsstrive.com/incident/targeted-cyberattack-on-ukranian-critical-energy-infrastructure-facility/
"Phishing Attack at Hershey Company Compromised PI of 2,214 people",09/02/2023,,Unknown phishing attack,,IT,United States,https://icsstrive.com/incident/phishing-attack-at-hershey-company-compromised-pi-of-2214-people/
Two Major NY Hospitals Struggle to Recover from Lockbit Cyberattack,09/01/2023,NY’s Carthage Area Hospital & Claxton-Hepburn Medical Center,,LockBit,IT,United States,https://icsstrive.com/incident/two-major-ny-hospitals-struggle-to-recover-from-lockbit-cyberattack/
Crystal Manufacturer Baccarat S.A Experienced Cyberattack on Undisclosed Data,09/01/2023,Baccarat S.A,,,OT IT,France,https://icsstrive.com/incident/crystal-manufacturer-baccarat-s-a-experienced-cyberattack-on-undisclosed-data/
Ransomware Attack at Sri Lanka Government Wipes Months of Data,08/30/2023,Sri Lanka Goverment,,,IT,Sri Lanka,https://icsstrive.com/incident/ransomware-attack-at-sri-lanka-government-wipes-months-of-data/
Dutch Electromagnet Manufacturer Kendrion hit by Cyberattack,08/29/2023,,,LockBit,IT,"Germany, Netherlands",https://icsstrive.com/incident/dutch-electromagnet-manufacturer-kendrion-hit-by-cyberattack/
Polish Railways Hack Paralyzed Freight and Passenger Trains,08/26/2023,Poland Railway System,,,OT IT,Poland,https://icsstrive.com/incident/polish-railways-hack-paralyzed-freight-and-passenger-trains/
Network Monitoring Company Users Affected by Hacking Campaign,08/24/2023,LogicMonitor,,,IT,United States,https://icsstrive.com/incident/network-monitoring-company-users-affected-by-hacking-campaign/
Akira Ransomware Attacks Cisco VPN Network in Attempt to Breach Corporate Networks,08/22/2023,Cisco,,Akira Ransomware Gang,IT,United States,https://icsstrive.com/incident/akira-ransomware-attacks-cisco-vpn-network-in-attempt-to-breach-corporate-networks/
"Ransomware Attack at Large Indian Paint Manufacturer, Kansai Nerolac.",08/20/2023,Kansai Nerolac Ltd.,,,IT,India,https://icsstrive.com/incident/ransomware-attack-at-large-indian-paint-manufacturer-kansai-nerolac/
Energy One Suffers Attack,08/18/2023,Energy One,,,IT,Australia,https://icsstrive.com/incident/energy-one-suffers-attack/
Paralyzing Cyberattack Hits Danish Cloud Service Companies,08/18/2023,CloudNordic & Azero owned by Certiqa,Ransomware – unknown,,IT,Denmark,https://icsstrive.com/incident/paralizing-cyberattack-hits-danish-cloud-service-companies/
"Cleaning Products Maker, Clorox, Suffers Attack",08/14/2023,Clorox Company,,,OT IT,United States,https://icsstrive.com/incident/cleaning-products-maker-clorox-suffers-attack/
Independent Businesses Suffer Big Hit as Result of Cyberattack on Swan Retail IT Firm,08/13/2023,Swan Retail,,,,United Kingdom,https://icsstrive.com/incident/independent-businesses-suffer-big-hit-as-result-of-cyberattack-at-swan-retail/
Limited Operational Impact after Cyberattack at Copper Mining Company FCX,08/11/2023,FCX (Freeport-McMoRan),Ransomware – unknown,,OT IT,United States,https://icsstrive.com/incident/limited-operational-impact-after-cyberattack-at-copper-mining-company-fcx/
Rapattoni Cyber Attack has Significant Financial Impact on Real Estate Sector,08/08/2023,Rapattoni,Ransomware – unknown,,IT,United States,https://icsstrive.com/incident/rapattoni-cyber-attack-has-significant-financial-impact-on-real-estate-sector/
Cyberattack Suspends Clinical Activity in Madeira Health Service,08/06/2023,Madeira Health Service (SESARAM),,Rhysida Ransomware Group,IT  Privacy,Portugal,https://icsstrive.com/incident/cyberattack-suspends-clinical-activity-in-madeira-health-service/
"Zaun, a Fencing Supplier, Suffers Ransomware Attack",08/05/2023,Zaun,,LockBit,IT,United Kingdom,https://icsstrive.com/incident/zaun-a-fencing-supplier-suffers-ransomware-attack/
Ransomware Attack Against Montreal Utility,08/03/2023,Commission des services electriques de Montréal (CSEM),,LockBit,IT,Canada,https://icsstrive.com/incident/ransomware-attack-against-montreal-utility/
16 Hospitals of Prospect Medical Holdings Impacted by Ransomware Attack,08/03/2023,"Prospect Medical Holdings, Inc",,Rhysida Ransomware Group,OT IT,United States,https://icsstrive.com/incident/16-hospitals-of-prospect-medical-holdings-impacted-by-ransomware-attack/
National Science Foundation Shuts down Telescopes in Hawai’i and Chile,08/01/2023,NOIRL National Optical-Infrared Astronomy Research Laboratory,,,OT IT,United States,https://icsstrive.com/incident/national-science-foundation-shuts-down-telescopes-in-hawaii-and-chile/
Golf Gear Giant Callaway Data Breach Exposes 1.1 Million Accounts,08/01/2023,Callaway,,,IT  Privacy,United States,https://icsstrive.com/incident/golf-gear-giant-callaway-data-breach-exposes-1-1-million-accounts/
Russian Cyberattack Targets Water and Gas Utility Meter Manufacturer in Ukraine,08/01/2023,,,,IT,Ukraine,https://icsstrive.com/incident/russian-cyberattack-targets-water-and-gas-utility-meter-manufacturer-in-ukraine/
DDoS attack at Israel’s Largest Oil Refinery,07/29/2023,BAZAN Group,,Cyber Av3ngers,IT,Israel,https://icsstrive.com/incident/ddos-attack-at-israels-largest-oil-refinery/
Seiko Suffers Ransomware Attack,07/28/2023,Seiko Group Corporation,,,IT,Japan,https://icsstrive.com/incident/seiko-suffers-ransomware-attack/
Ransomware Attack German Drinking Water Association Paralyzed IT Systems,07/28/2023,Trinkwasserverband Stader Land (TWV),,LockBit,IT,Germany,https://icsstrive.com/incident/ransomware-attack-german-drinking-water-association-paralyzed-it-systems/
Wuhan Earthquake Monitoring Center Suspects Cyberattack comes from US.,07/26/2023,Wuhan Earthquake Monitoring Center,,,,China,https://icsstrive.com/incident/wuhan-earthquake-monitoring-center-suspects-cyberattack-comes-from-us/
Cyberattack Causes Widespread Disruption in Kenya,07/25/2023,"M-PESA, Kenya Government Services",,Anonymous Sudan,IT,Kenya,https://icsstrive.com/incident/cyberattack-causes-widespread-disruption-in-kenya/
Cyberattack Affects Platform used by 12 Government Ministries in Norway,07/24/2023,Norwegian Government,,,IT,Norway,https://icsstrive.com/incident/cyberattack-affects-platform-used-by-12-government-ministries-in-norway/
Tempur Sealy International Suffers Cyberattack,07/23/2023,Tempur Sealy International,,BlackCat / ALPHV,OT IT,United States,https://icsstrive.com/incident/tempur-sealy-international-suffers-cyberattack/
SoftProject GmbH Reports Ransomware Attack,07/21/2023,SoftProject,,,IT,Germany,https://icsstrive.com/incident/softproject-gmbh-reports-ransomware-attack/
Wide-ranging Ransomware Attack Takes Down Local County Government in Alabama,07/20/2023,"George County, Alabama",,,IT,United States,https://icsstrive.com/incident/wide-ranging-ransomware-attack-takes-down-local-county-government-in-alabama/
Travel Booking Giant Sabre Investigating Claims of a 1.3TB Data Breach,07/20/2023,Sabre,,Dunghill ransomware gang,IT,United States,https://icsstrive.com/incident/travel-booking-giant-sabre-investigating-claims-of-a-1-3tb-data-breach/
Campbell Soup Shuts Down OH Site After Cyberattack,07/20/2023,Campbell Soup Co.,,,OT IT,United States,https://icsstrive.com/incident/campbell-soup-shuts-down-oh-site-after-cyberattack/
Cosmetic’s Giant Estée Lauder Suffers Breach,07/18/2023,Estee Lauder,,"Clop (or Cl0p) ransomware gang, BlackCat / ALPHV",IT,United States,https://icsstrive.com/incident/cosmetics-giant-estee-lauder-suffers-breach/
Attack on Swedish medical technology provider disrupts municipal British ambulance services.,07/18/2023,Ortivus,,,IT,"Sweden, United Kingdom",https://icsstrive.com/incident/attack-on-swedish-medical-technology-provider-disrupts-municipal-british-ambulance-services/
Ransomware Attack at Russian Medical Laboratory,07/18/2023,"Helix, Russian medical laboratory",,,IT  Privacy,Russia,https://icsstrive.com/incident/ransomware-attack-at-russian-medical-laboratory/
"Recycling, Mining Provider, Tomra, Hit in ‘Extensive’ Attack",07/16/2023,Tomra,,,IT,Norway,https://icsstrive.com/incident/recycling-mining-provider-tomra-hit-in-extensive-attack/
Ransomware Attack Shuts Down Operations at German Manufacturer Wildeboer,07/14/2023,Wildeboer,,,OT IT,Germany,https://icsstrive.com/incident/ransomware-attack-shuts-down-operations-at-german-manufacturer-wildeboer/
Australian Infrastructure Services Provider Takes Down Systems,07/08/2023,Ventia,Unknown,,IT,Australia,https://icsstrive.com/incident/australian-infrastructure-services-provider-takes-down-systems/
Russian Medical Lab Helix Hit by Ransomware Attack,07/08/2023,Helix Laboratory,,,IT,Russia,https://icsstrive.com/incident/russian-medical-lab-helix-hit-by-cyberattack/
Russian RZD Railway Cyberattack Disrupts Online Ticket Sales,07/05/2023,RZD railway company,,,IT,Russia,https://icsstrive.com/incident/russian-rzd-railway-cyberattack-disrupts-online-ticket-sales/
Container Processing Halted at The Port of Nagoya,07/04/2023,"Toyota Motor Corporation, Nagoya Port Authority",,LockBit,OT IT,Japan,https://icsstrive.com/incident/container-processing-halted-at-the-port-of-nagoya/
Operations Disrupted at Montpellier Airport after Weekend Cyberattack,07/02/2023,Montpellier Airport,,,OT IT,France,https://icsstrive.com/incident/operations-disrupted-at-montpellier-airport-after-weekend-cyberattack/
AON MOVEit Hack affects Dublin Airport Staff Data,07/01/2023,AON,,Clop (or Cl0p) ransomware gang,IT,Ireland,https://icsstrive.com/incident/aon-moveit-hack-affects-dublin-airport-staff-data/
Satellite Communications System Serving the Russian military Knocked Offline,06/30/2023,Dozor-Teleport,,,IT,Russia,https://icsstrive.com/incident/satellite-communications-system-serving-the-russian-military-knocked-offline/
German Milk Producer Affected by Cyberattack,06/30/2023,SCHWÄLBCHEN,,,IT,Germany,https://icsstrive.com/incident/german-milk-producer-affected-by-cyberattack/
Confusion About $70M Ransom Demand: Kinmax or TSMC ?,06/29/2023,Kinmax Technology,,LockBit,IT,Taiwan,https://icsstrive.com/incident/confusion-about-70m-ransom-demand-kinmax-or-tsmc/
Lockbit Demands $70M of TSMC Chipmaking Giant,06/28/2023,TSMC (Taiwan Semiconductor Manufacturing Company),,LockBit,IT,Taiwan,https://icsstrive.com/incident/lockbit-demands-70m-of-tsmc-chipmaking-giant/
Siemens Energy AG Confirms Ransomware Attack,06/27/2023,Siemens Energy AG,,Clop (or Cl0p) ransomware gang,IT,"Germany, Global",https://icsstrive.com/incident/siemens-energy-ag-confirms-ransomware-attack/
"Suncor Suffers Cyber Attack, Hurts Retail Operations",06/23/2023,Suncor,,,IT,Canada,https://icsstrive.com/incident/suncor-suffers-cyber-attack-hurts-retail-operations/
OR Luxury Recreational Vehicle Maker Hit In Cyberattack,06/22/2023,"Marathon Coach, Inc.",,,IT,United States,https://icsstrive.com/incident/or-luxury-recreational-vehicle-maker-hit-in-cyberattack/
First Merchant Bank also Confirmed Databreach as Result of MOVEit Hacks,06/21/2023,First Merchants Bank,,Clop (or Cl0p) ransomware gang,IT,United States,https://icsstrive.com/incident/first-merchant-bank-also-confirmed-databreach-as-result-of-moveit-hacks/
DDoS Attack Took Down the North Sea Port Website,06/20/2023,North Sea Port,DDoS Attack,NoName057(16),IT,"Belgium, Netherlands",https://icsstrive.com/incident/ddos-attack-took-down-the-north-sea-port-website/
Cyberattack hits Multiple Sites of Pharmaceutical Vibrac Group,06/19/2023,Vibrac,,,IT,France,https://icsstrive.com/incident/cyberattack-hits-multiple-sites-of-pharmaceutical-vibrac-group/
Shell Investigates Ransomware Attack by the Cl0p Group,06/16/2023,Royal Dutch Shell,,Clop (or Cl0p) ransomware gang,IT,United Kingdom,https://icsstrive.com/incident/ransomware-attack-shell-by-the-cl0p-gang/
Cyberattack Causes Widespread Operational Disruption at Rheinische Post Mediagruppe,06/16/2023,Rheinische Post Mediengruppe GmbH,,,OT IT,Germany,https://icsstrive.com/incident/cyberattack-causes-widespread-operational-disruption-at-rheinische-post-mediagruppe/
USA’s ASPR issues Alert as Ransomware Gang Attacks Cancer Centers.,06/16/2023,,Unknown ransomware variant,TimisoaraHackerTeam (THT),IT,United States,https://icsstrive.com/incident/usas-aspr-issues-alert-as-ransomware-gang-attacks-cancer-centers/
UK based KNP Logistics Business Shuts Down: 700 Jobs lost,06/15/2023,KNP Logistics Group,,Akira Ransomware Gang,OT IT,United Kingdom,https://icsstrive.com/incident/uk-based-knp-logistics-business-shuts-down-700-jobs-lost/
MOVEit hits US Department of Energy Research Universities in TN,06/15/2023,"Oak Ridge Associated Universities, TN",,Clop (or Cl0p) ransomware gang,IT,United States,https://icsstrive.com/incident/moveit-hits-us-department-of-energy-research-universities-in-tn/
MOVEit Hack affects US Waste Isolation Plant in NM,06/15/2023,US Waste Isolation Pilot Plant – NM,,Clop (or Cl0p) ransomware gang,IT,United States,https://icsstrive.com/incident/moveit-hack-affects-us-waste-isolation-plant-in-nm/
